text,true_labels,predicted_labels,missed_labels,extra_labels,largest_decision_margin,source_name,source_type,technique_id,technique_name
TONESHELL has leveraged custom exception handlers to hide code flow and stop execution of a debugger.,discovery|stealth,stealth,discovery,,1.829826540780164,TONESHELL,malware,T1622,Debugger Evasion
"During Operation Dream Job, Lazarus Group used tools that collected `GetTickCount` and `GetSystemTimeAsFileTime` data to detect sandbox or VMware services.",discovery|stealth,discovery,stealth,,1.8246535902816354,Operation Dream Job,campaign,T1497.003,Time Based Checks
APT38 has used a custom secure delete function to make deleted files unrecoverable.,impact,stealth,impact,stealth,1.8226664571656128,APT38,intrusion-set,T1485,Data Destruction
Troll Stealer can enumerate and collect items from local drives and folders.,discovery,collection|discovery,,collection,1.8137804528853245,Troll Stealer,malware,T1083,File and Directory Discovery
Penquin has mimicked the Cron binary to hide itself on compromised systems.,stealth,privilege-escalation|stealth,,privilege-escalation,1.7988439887090406,Penquin,malware,T1036.005,Match Legitimate Resource Name or Location
KGH_SPY can send data to C2 with HTTP POST requests.,command-and-control,command-and-control|exfiltration,,exfiltration,1.7886211389908238,KGH_SPY,malware,T1071.001,Web Protocols
TrickBot used COM to setup scheduled task for persistence.,execution,execution|persistence|privilege-escalation,,persistence|privilege-escalation,1.7700492211351861,TrickBot,malware,T1559.001,Component Object Model
UPPERCUT can use a sleep function to delay execution.,stealth,discovery|stealth,,discovery,1.7690676086472186,UPPERCUT,malware,T1678,Delay Execution
Higaisa’s JavaScript file used a legitimate Microsoft Office 2007 package to side-load the OINFO12.OCX dynamic link library.,execution|stealth,execution,stealth,,1.7540674855644762,Higaisa,intrusion-set,T1574.001,DLL
DOWNIISSA can create an instance of msiexec.exe and inject LODEINFO shellcode into the memory of the process.,stealth,privilege-escalation|stealth,,privilege-escalation,1.7531536215289267,DOWNIISSA,malware,T1218.007,Msiexec
"HyperBro has used a legitimate application to sideload a DLL to decrypt, decompress, and run a payload.",execution|stealth,stealth,execution,,1.7353127361321272,HyperBro,malware,T1574.001,DLL
Spica can archive collected documents for exfiltration.,collection,collection|exfiltration,,exfiltration,1.7350271391425738,Spica,malware,T1560,Archive Collected Data
NPPSPY records data entered from the local system logon at Winlogon to capture credentials in cleartext.,collection,collection|credential-access,,credential-access,1.730417561711769,NPPSPY,tool,T1005,Data from Local System
Dridex has used the OutputDebugStringW function to avoid malware analysis as part of its anti-debugging technique.,execution,discovery|stealth,execution,discovery|stealth,1.7260719671508178,Dridex,malware,T1106,Native API
MirageFox is likely loaded via DLL hijacking into a legitimate McAfee binary.,execution|stealth,stealth,execution,,1.7255927930283463,MirageFox,malware,T1574.001,DLL
Daggerfly has used strategic website compromise for initial access against victims.,initial-access,initial-access|resource-development,,resource-development,1.7195350463337897,Daggerfly,intrusion-set,T1189,Drive-by Compromise
Qilin has pushed a scheduled task via a Group Policy Object for payload execution.,defense-impairment|privilege-escalation,execution|persistence|privilege-escalation,defense-impairment,execution|persistence,1.7161374818013722,Qilin,malware,T1484.001,Group Policy Modification
GreyEnergy modifies conditions in the Registry and adds keys.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,,privilege-escalation,1.709672523434642,GreyEnergy,malware,T1112,Modify Registry
Gazer stores configuration items in alternate data streams (ADSs) if the Registry is not accessible.,stealth,persistence|stealth,,persistence,1.7021523185826273,Gazer,malware,T1564.004,NTFS File Attributes
LazyWiper can enumerate the hostname of the system to determine if it is a domain controller and exclude it from being wiped if so.,stealth,discovery,stealth,discovery,1.6991347456639045,LazyWiper,malware,T1679,Selective Exclusion
Kazuar has used internal nodes on the compromised network for C2 communications.,command-and-control,command-and-control|lateral-movement,,lateral-movement,1.6828426498906,Kazuar,malware,T1090.001,Internal Proxy
Blue Mockingbird has used JuicyPotato to abuse the SeImpersonate token privilege to escalate from web application pool accounts to NT Authority\SYSTEM.,privilege-escalation|stealth,persistence|privilege-escalation|stealth,,persistence,1.6586354850290739,Blue Mockingbird,intrusion-set,T1134,Access Token Manipulation
RogueRobin created a shortcut in the Windows startup folder to launch a PowerShell script each time the user logs in to establish persistence.,persistence|privilege-escalation,execution|persistence|privilege-escalation,,execution,1.6571254658233772,RogueRobin,malware,T1547.001,Registry Run Keys / Startup Folder
Spica can use an obfuscated PowerShell command to create a scheduled task for persistence.,execution,execution|persistence|privilege-escalation,,persistence|privilege-escalation,1.6429921795624338,Spica,malware,T1059.001,PowerShell
"SMOKEDHAM has modified registry keys for persistence, to enable credential caching for credential access, and to facilitate lateral movement via RDP.",defense-impairment|persistence,credential-access|defense-impairment|persistence,,credential-access,1.642167510728809,SMOKEDHAM,malware,T1112,Modify Registry
MirrorFace has used a tool named MRSAStealer as a password filter to collect credentials on password changes.,credential-access|defense-impairment|persistence,credential-access,defense-impairment|persistence,,1.6320739522202263,MirrorFace,intrusion-set,T1556.002,Password Filter DLL
P8RAT can check for specific processes associated with virtual environments.,discovery,discovery|stealth,,stealth,1.624947282199013,P8RAT,malware,T1057,Process Discovery
Indrik Spider has created local system accounts and has added the accounts to privileged groups.,persistence,persistence|privilege-escalation,,privilege-escalation,1.6077884021268167,Indrik Spider,intrusion-set,T1136.001,Local Account
Stuxnet used MS10-073 and an undisclosed Task Scheduler vulnerability to escalate privileges on local Windows machines.,privilege-escalation,persistence|privilege-escalation,,persistence,1.5734259560866477,Stuxnet,malware,T1068,Exploitation for Privilege Escalation
Latrodectus can delete itself while its process is still running through the use of an alternate data stream.,stealth,privilege-escalation|stealth,,privilege-escalation,1.5484005185301468,Latrodectus,malware,T1564.004,NTFS File Attributes
TONESHELL has injected its malicious payload into a running process through Windows utility Microsoft Application Virtualization Injector `MAVInject.exe`.,stealth,privilege-escalation|stealth,,privilege-escalation,1.5404871931118307,TONESHELL,malware,T1218.013,Mavinject
SharpDisco has the ability to transfer data between SMB shares.,command-and-control,lateral-movement,command-and-control,lateral-movement,1.5357236758161246,SharpDisco,malware,T1071.002,File Transfer Protocols
LockBit 2.0 can create Registry keys to bypass UAC and for persistence.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,,privilege-escalation,1.5136082514043683,LockBit 2.0,malware,T1112,Modify Registry
SideCopy has executed malware by calling the API function `CreateProcessW`.,execution,execution|stealth,,stealth,1.5084259636973392,SideCopy,intrusion-set,T1106,Native API
"OopsIE checks for information on the CPU fan, temperature, mouse, hard disk, and motherboard as part of its anti-VM checks.",discovery,discovery|stealth,,stealth,1.4911648530970332,OopsIE,malware,T1082,System Information Discovery
Axiom has used previously compromised administrative accounts to escalate privileges.,initial-access|persistence|privilege-escalation|stealth,persistence|privilege-escalation|stealth,initial-access,,1.4880418573726357,Axiom,intrusion-set,T1078,Valid Accounts
FIN13 has leveraged default credentials for authenticating myWebMethods (WMS) and QLogic web management interface to gain initial access.,initial-access|persistence|privilege-escalation|stealth,credential-access|initial-access|persistence|privilege-escalation|stealth,,credential-access,1.4864960287714841,FIN13,intrusion-set,T1078.001,Default Accounts
APT29 has used a compromised global administrator account in Azure AD to backdoor a service principal with `ApplicationImpersonation` rights to start collecting emails from targeted mailboxes; APT29 has also used compromised accounts holding `ApplicationImpersonation` rights in Exchange to collect emails.,persistence|privilege-escalation,initial-access|persistence|privilege-escalation|stealth,,initial-access|stealth,1.4651010394404576,APT29,intrusion-set,T1098.002,Additional Email Delegate Permissions
StrelaStealer variants have included excessive mathematical functions padding the binary and slowing execution for anti-analysis and sandbox evasion purposes.,stealth,discovery|stealth,,discovery,1.4604728507143219,StrelaStealer,malware,T1027.016,Junk Code Insertion
Embargo has modified the Windows Registry to start a custom service named irnagentd in Safe Mode.,persistence|privilege-escalation,defense-impairment|persistence,privilege-escalation,defense-impairment,1.4593648484480064,Embargo,malware,T1547.001,Registry Run Keys / Startup Folder
"Emotet has obfuscated macros within malicious documents to hide the URLs hosting the malware, CMD.exe arguments, and PowerShell scripts.",stealth,execution|stealth,,execution,1.4281294528927302,Emotet,malware,T1027.010,Command Obfuscation
njRAT can read specific registry values.,discovery,discovery|persistence,,persistence,1.4164149439065825,njRAT,malware,T1012,Query Registry
"RogueRobin gathers BIOS versions and manufacturers, the number of CPU cores, the total physical memory, and the computer name.",discovery,discovery|stealth,,stealth,1.4046040062077425,RogueRobin,malware,T1082,System Information Discovery
DOWNIISSA can use the `URLDownloadToFileA()` API to download from remote resources.,execution,command-and-control|execution,,command-and-control,1.394542726246513,DOWNIISSA,malware,T1106,Native API
Crutch has established persistence with a scheduled task impersonating the Outlook item finder.,stealth,persistence|privilege-escalation,stealth,persistence|privilege-escalation,1.3915263187624582,Crutch,malware,T1036.004,Masquerade Task or Service
NETWIRE can automatically archive collected data.,collection,collection|exfiltration,,exfiltration,1.385284863299766,NETWIRE,malware,T1119,Automated Collection
LockBit 3.0 can delete log files on targeted systems.,defense-impairment,impact|stealth,defense-impairment,impact|stealth,1.37837325992226,LockBit 3.0,malware,T1685.005,Clear Windows Event Logs
"During RedPenguin, UNC3886 used malware to clear the `HISTFILE` environmental variable and to inject into Junos OS processes to inhibit logging.",defense-impairment,defense-impairment|stealth,,stealth,1.364697607918754,RedPenguin,campaign,T1690,Prevent Command History Logging
UBoatRAT takes advantage of the /SetNotifyCmdLine option in BITSAdmin to ensure it stays running on a system to maintain persistence.,execution|persistence|stealth,persistence,execution|stealth,,1.3511123652849004,UBoatRAT,malware,T1197,BITS Jobs
WastedLocker checked if UCOMIEnumConnections and IActiveScriptParseProcedure32 Registry keys were detected as part of its anti-analysis technique.,discovery|stealth,discovery,stealth,,1.3478953697200222,WastedLocker,malware,T1497.001,System Checks
AADInternals can inject a malicious DLL (`PTASpy`) into the `AzureADConnectAuthenticationAgentService` to backdoor Azure AD Pass-Through Authentication.,credential-access|defense-impairment|persistence,persistence|privilege-escalation|stealth,credential-access|defense-impairment,privilege-escalation|stealth,1.3440276838077831,AADInternals,tool,T1556.007,Hybrid Identity
DustySky can compress files via RAR while staging data to be exfiltrated.,collection,collection|exfiltration,,exfiltration,1.3420224413877972,DustySky,malware,T1560.001,Archive via Utility
MgBot includes modules for stealing stored credentials from Outlook and Foxmail email client software.,credential-access,collection|credential-access,,collection,1.3376750087981013,MgBot,malware,T1555,Credentials from Password Stores
"During Operation AkaiRyū, MirrorFace used MSBuild to compile and execute its FaceXInjector injection tool.",execution|stealth,privilege-escalation|stealth,execution,privilege-escalation,1.3368052654066216,Operation AkaiRyū,campaign,T1127.001,MSBuild
Empire can use New-GPOImmediateTask to modify a GPO that will install and execute a malicious Scheduled Task/Job.,defense-impairment|privilege-escalation,execution|persistence|privilege-escalation,defense-impairment,execution|persistence,1.3367573184125034,Empire,tool,T1484.001,Group Policy Modification
Gazer can establish persistence by creating a .lnk file in the Start menu or by modifying existing .lnk files to execute the malware through cmd.exe.,persistence|privilege-escalation,execution|persistence|privilege-escalation,,execution,1.334937696609994,Gazer,malware,T1547.009,Shortcut Modification
"StrelaStealer has used a renamed, legitimate `msinfo32.exe` executable to sideload the StrelaStealer payload during initial installation.",stealth,execution|stealth,,execution,1.3299227498944552,StrelaStealer,malware,T1036.003,Rename Legitimate Utilities
MultiLayer Wiper uses a batch script launched via a scheduled task to delete Windows Event Logs.,execution,defense-impairment|execution,,defense-impairment,1.319068889856767,MultiLayer Wiper,malware,T1059.003,Windows Command Shell
TEARDROP checked that HKU\SOFTWARE\Microsoft\CTF existed before decoding its embedded payload.,discovery,discovery|stealth,,stealth,1.3177132155614215,TEARDROP,malware,T1012,Query Registry
Pupy can compress data with Zip before sending it over C2.,collection,collection|command-and-control,,command-and-control,1.3174174181417355,Pupy,tool,T1560.001,Archive via Utility
AshTag can use a set sleep time to delay C2 beaconing.,stealth,discovery|stealth,,discovery,1.3164843937169048,AshTag,malware,T1678,Delay Execution
Kazuar can overwrite files with random data before deleting them.,impact,impact|stealth,,stealth,1.3164465769518918,Kazuar,malware,T1485,Data Destruction
"During Operation AkaiRyū, MirrorFace disguised LNK and SFX (self-extracting) files as Word documents to lure victims into opening malicious files.",stealth,execution|stealth,,execution,1.307027550986212,Operation AkaiRyū,campaign,T1036.008,Masquerade File Type
AADInternals can check for the existence of user email addresses using public Microsoft APIs.,reconnaissance,discovery,reconnaissance,discovery,1.3005952737340774,AADInternals,tool,T1589.002,Email Addresses
StoneDrill has looked in the registry to find the default browser path.,discovery,discovery|persistence,,persistence,1.29816605448799,StoneDrill,malware,T1012,Query Registry
Koadic can use mshta to serve additional payloads and to help schedule tasks for persistence.,stealth,execution|persistence|privilege-escalation,stealth,execution|persistence|privilege-escalation,1.2919687118600793,Koadic,tool,T1218.005,Mshta
njRAT has executed PowerShell commands via auto-run registry key persistence.,execution,execution|persistence|privilege-escalation,,persistence|privilege-escalation,1.2895151506791247,njRAT,malware,T1059.001,PowerShell
PAKLOG has used Windows API `SetWindowsHookExW` with `idHook` set to `WH_KEYBOARD_LL` and a custom hook procedure to support its keylogging functions.,execution,collection|credential-access,execution,collection|credential-access,1.2796489633645167,PAKLOG,malware,T1106,Native API
ShimRatReporter sent generated reports to the C2 via HTTP POST requests.,exfiltration,command-and-control|exfiltration,,command-and-control,1.2793915989169191,ShimRatReporter,tool,T1041,Exfiltration Over C2 Channel
Stuxnet searches the Registry for indicators of security programs.,discovery,defense-impairment|discovery,,defense-impairment,1.263878623605491,Stuxnet,malware,T1012,Query Registry
APT29 has used spearphishing with a link to trick victims into clicking on a link to a zip file containing malicious files.,initial-access,execution,initial-access,execution,1.261604920314554,APT29,intrusion-set,T1566.002,Spearphishing Link
BADNEWS typically loads its DLL file into a legitimate signed Java or VMware executable.,execution|stealth,stealth,execution,,1.2579339273067567,BADNEWS,malware,T1574.001,DLL
Pysa has extracted credentials from the password database before encrypting the files.,credential-access,collection|credential-access,,collection,1.2569617167964675,Pysa,malware,T1552.001,Credentials In Files
FIN13 has used the PowerShell utility `Invoke-SMBExec` to execute the pass the hash method for lateral movement within an compromised environment.,lateral-movement,execution|lateral-movement,,execution,1.2567765803415958,FIN13,intrusion-set,T1550.002,Pass the Hash
"GRIFFON has used a persistence module that stores the implant inside the Registry, which executes at logon.",persistence|privilege-escalation,persistence,privilege-escalation,,1.2562122158217466,GRIFFON,malware,T1547.001,Registry Run Keys / Startup Folder
Koadic can download files off the target system to send back to the server.,collection,command-and-control,collection,command-and-control,1.2525327648893239,Koadic,tool,T1005,Data from Local System
AshTag can check geolocation on targeted systems.,discovery,discovery|stealth,,stealth,1.2508918402462519,AshTag,malware,T1614,System Location Discovery
Peppy can identify specific files for exfiltration.,discovery,discovery|exfiltration,,exfiltration,1.2376456785681844,Peppy,malware,T1083,File and Directory Discovery
"Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.",collection,credential-access,collection,credential-access,1.2373930514162774,Dridex,malware,T1185,Browser Session Hijacking
APT29 used Kerberos ticket attacks for lateral movement.,lateral-movement,credential-access|lateral-movement,,credential-access,1.2362185657089813,APT29,intrusion-set,T1550.003,Pass the Ticket
LAPSUS$ has used compromised credentials to access cloud assets within a target organization.,initial-access|persistence|privilege-escalation|stealth,initial-access|lateral-movement|persistence|privilege-escalation|stealth,,lateral-movement,1.2337346309619135,LAPSUS$,intrusion-set,T1078.004,Cloud Accounts
Higaisa used HTTP and HTTPS to send data back to its C2 server.,command-and-control,command-and-control|exfiltration,,exfiltration,1.227784786953205,Higaisa,intrusion-set,T1071.001,Web Protocols
LAMEHUG has the ability to collect system information and files of interest from compromised systems.,collection,collection|discovery,,discovery,1.2254229449428793,LAMEHUG,malware,T1005,Data from Local System
WastedLocker has performed DLL hijacking before execution.,execution|stealth,stealth,execution,,1.2220078961569567,WastedLocker,malware,T1574.001,DLL
SideCopy has sent Microsoft Office Publisher documents to victims that have embedded malicious macros that execute an hta file via calling `mshta.exe`.,execution,stealth,execution,stealth,1.215331559643607,SideCopy,intrusion-set,T1059.005,Visual Basic
UPPERCUT can upload files to the C2 from infected machines.,collection,collection|command-and-control,,command-and-control,1.2147113597565624,UPPERCUT,malware,T1005,Data from Local System
"For Operation Dream Job, Lazarus Group compromised domains in Italy and other countries for their C2 infrastructure.",resource-development,command-and-control|resource-development,,command-and-control,1.2115349586046884,Operation Dream Job,campaign,T1584.001,Domains
WastedLocker can modify registry values within the Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap registry key.,defense-impairment|persistence,defense-impairment|discovery|persistence,,discovery,1.1938433925600462,WastedLocker,malware,T1112,Modify Registry
Spica has created a scheduled task named `CalendarChecker` for persistence on compromised hosts.,stealth,execution|persistence|privilege-escalation,stealth,execution|persistence|privilege-escalation,1.1915263229939785,Spica,malware,T1036.004,Masquerade Task or Service
Cuckoo Stealer can capture files from a targeted user's keychain directory.,credential-access,collection,credential-access,collection,1.188463353548163,Cuckoo Stealer,malware,T1555.001,Keychain
Axiom has used steganography to hide its C2 communications.,command-and-control,command-and-control|stealth,,stealth,1.180541415141792,Axiom,intrusion-set,T1001.002,Steganography
Lokibot has modified the Registry as part of its UAC bypass process.,defense-impairment|persistence,defense-impairment|persistence|privilege-escalation,,privilege-escalation,1.1738343065947192,Lokibot,malware,T1112,Modify Registry
APT29 has used a compromised account to access an organization's VPN infrastructure.,initial-access|persistence|privilege-escalation|stealth,initial-access|persistence|privilege-escalation,stealth,,1.1677598340619701,APT29,intrusion-set,T1078,Valid Accounts
OLDBAIT obfuscates internal strings and unpacks them at startup.,stealth,privilege-escalation|stealth,,privilege-escalation,1.166635958735014,OLDBAIT,malware,T1027,Obfuscated Files or Information
"During Operation AkaiRyū, MirrorFace exported Chrome web data including contact information, keywords, autofill data, and stored credit card information.",discovery,collection,discovery,collection,1.159813744662171,Operation AkaiRyū,campaign,T1217,Browser Information Discovery
EnvyScout has used folder icons for malicious files to lure victims into opening them.,stealth,execution,stealth,execution,1.1551702993391753,EnvyScout,malware,T1036,Masquerading
Pillowmint can iterate through running processes every six seconds collecting a list of processes to capture from later.,discovery,collection|discovery,,collection,1.155107363960777,Pillowmint,malware,T1057,Process Discovery
Latrodectus has routed C2 traffic using Keyhole VNC.,lateral-movement,command-and-control,lateral-movement,command-and-control,1.1512975837049089,Latrodectus,malware,T1021.005,VNC
"Rising Sun can enumerate information about files from the infected system, including file size, attributes, creation time, last access time, and write time. Rising Sun can enumerate the compilation timestamp of Windows executable files.",discovery,discovery|stealth,,stealth,1.1502165955566817,Rising Sun,malware,T1083,File and Directory Discovery
FIN6 has used encoded PowerShell commands.,stealth,execution|stealth,,execution,1.1475697492000365,FIN6,intrusion-set,T1027.010,Command Obfuscation
KGH_SPY can send a file containing victim system information to C2.,collection,discovery|exfiltration,collection,discovery|exfiltration,1.1462208526965774,KGH_SPY,malware,T1005,Data from Local System
TrickBot has used Nt* Native API functions to inject code into legitimate processes such as wermgr.exe .,privilege-escalation|stealth,execution|privilege-escalation|stealth,,execution,1.146030319047345,TrickBot,malware,T1055,Process Injection
Hi-Zor executes using regsvr32.exe called from the Registry Run Keys / Startup Folder persistence mechanism.,stealth,persistence|privilege-escalation|stealth,,persistence|privilege-escalation,1.1445358947017243,Hi-Zor,malware,T1218.010,Regsvr32
LockBit 3.0 can attempt a CMSTP UAC bypass if it does not have administrative privileges.,stealth,privilege-escalation,stealth,privilege-escalation,1.1431389235275657,LockBit 3.0,malware,T1218.003,CMSTP
BlackByte Ransomware modifies the victim Registry to prevent system recovery.,defense-impairment|persistence,defense-impairment|impact|persistence,,impact,1.1430743291474545,BlackByte Ransomware,malware,T1112,Modify Registry
njRAT has used AutoIt to compile the payload and main script into a single executable after delivery.,stealth,execution|stealth,,execution,1.1417949831053518,njRAT,malware,T1027.004,Compile After Delivery
"One variant of BlackEnergy locates existing driver services that have been disabled and drops its driver component into one of those service's paths, replacing the legitimate executable. The malware then sets the hijacked service to start automatically to establish persistence.",execution|stealth,persistence|privilege-escalation|stealth,execution,persistence|privilege-escalation,1.1412111623923218,BlackEnergy,malware,T1574.010,Services File Permissions Weakness
FIN13 has injected fraudulent transactions into compromised networks that mimic legitimate behavior to siphon off incremental amounts of money.,impact,privilege-escalation|stealth,impact,privilege-escalation|stealth,1.1409969189069624,FIN13,intrusion-set,T1565,Data Manipulation
Qilin can check `HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control SystemStartOptions` to determine if a machine is running in safe mode.,discovery,defense-impairment|discovery,,defense-impairment,1.1274384451565194,Qilin,malware,T1012,Query Registry
RogueRobin uses various WMI queries to check if the sample is running in a sandbox.,execution,discovery,execution,discovery,1.1227989575329875,RogueRobin,malware,T1047,Windows Management Instrumentation
Lokibot has the ability to copy itself to a hidden file and directory.,stealth,lateral-movement|stealth,,lateral-movement,1.1221781989106332,Lokibot,malware,T1564.001,Hidden Files and Directories
"Playcrypt can avoid encrypting files with a .PLAY, .exe, .msi, .dll, .lnk, or .sys file extension.",discovery,stealth,discovery,stealth,1.1198165675647922,Playcrypt,malware,T1083,File and Directory Discovery
NETWIRE can capture session logon details from a compromised host.,discovery,collection|credential-access,discovery,collection|credential-access,1.1178559811146254,NETWIRE,malware,T1049,System Network Connections Discovery
OilBooster has the ability to execute shell commands and exfiltrate the results.,execution,execution|exfiltration,,exfiltration,1.1176873961012577,OilBooster,malware,T1059.003,Windows Command Shell
Pysa has the capability to stop antivirus services and disable Windows Defender.,defense-impairment,defense-impairment|impact,,impact,1.107647952576762,Pysa,malware,T1685,Disable or Modify Tools
Diskpart can be used to delete a partition or a volume. Diskpart can also be used to remove all partitions or volume formatting from the selected disk.,impact,impact|stealth,,stealth,1.1075133733125693,Diskpart,tool,T1561.002,Disk Structure Wipe
KEYMARBLE has the capability to delete files off the victim’s machine.,stealth,impact|stealth,,impact,1.1067510820922535,KEYMARBLE,malware,T1070.004,File Deletion
LAPSUS$ has created global admin accounts in the targeted organization's cloud instances to gain persistence.,persistence,initial-access|persistence|privilege-escalation,,initial-access|privilege-escalation,1.1063674266258612,LAPSUS$,intrusion-set,T1136.003,Cloud Account
WastedLocker can perform a UAC bypass if it is not executed with administrator rights or if the infected host runs Windows Vista or later.,privilege-escalation,privilege-escalation|stealth,,stealth,1.0986420142607323,WastedLocker,malware,T1548.002,Bypass User Account Control
APT33 has used base64 to encode payloads.,stealth,command-and-control|stealth,,command-and-control,1.098285338871075,APT33,intrusion-set,T1027.013,Encrypted/Encoded File
Troll Stealer can collect local system information.,discovery,collection|discovery,,collection,1.0944925841651536,Troll Stealer,malware,T1082,System Information Discovery
"APT-C-36 has used a macro function to set scheduled tasks, disguised as those used by Google.",execution|persistence|privilege-escalation,execution|persistence,privilege-escalation,,1.0789614419234774,APT-C-36,intrusion-set,T1053.005,Scheduled Task
HAWKBALL has used an OLE object that uses Equation Editor to drop the embedded shellcode.,execution,execution|stealth,,stealth,1.0767954535122426,HAWKBALL,malware,T1559.002,Dynamic Data Exchange
Stuxnet used WMI with an explorer.exe token to execute on a remote share.,execution,execution|privilege-escalation|stealth,,privilege-escalation|stealth,1.0766932704392433,Stuxnet,malware,T1047,Windows Management Instrumentation
"For Operation Spalax, the threat actors used a variety of packers and droppers to decrypt malicious payloads.",stealth,resource-development|stealth,,resource-development,1.0764570735312549,Operation Spalax,campaign,T1140,Deobfuscate/Decode Files or Information
LockBit 2.0 can bypass UAC through creating the Registry key `HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\ICM\Calibration`.,privilege-escalation,defense-impairment|persistence|privilege-escalation,,defense-impairment|persistence,1.0754577226836115,LockBit 2.0,malware,T1548.002,Bypass User Account Control
"BADNEWS identifies files with certain extensions from USB devices, then copies them to a predefined directory.",discovery,collection,discovery,collection,1.0586411573987695,BADNEWS,malware,T1083,File and Directory Discovery
